"RANK","COUNTRY","GDP_PER_CAPITA","HAPPINESS_SCORE","GDP","POPULATION"
"1","Finland","43034","7.821","238502900311.9","5542237"
"2","Denmark","52952","7.636","306899653409.601","5795780"
"3","Iceland","58682","7.557","20047413006.3471","341628"
"4","Switzerland","77185","7.512","668851296244.236","8665615"
"5","Netherlands","45342","7.415","777227541581.307","17141544"
"6","Luxembourg","93406","7.404","58631324559.4484","627704"
"7","Sweden","50885","7.384","514459972806.171","10110233"
"8","Norway","68356","7.365","371076190476.19","5428594"
"9","Israel","36613","7.364","317744784695.1","8678517"
"10","New Zealand","38304","7.2","184969146624.47","4829021"
"11","Austria","43348","7.163","390799991147.468","9015361"
"12","Australia","47146","7.162","1204616439828.41","25550683"
"13","Ireland","61614","7.041","304819020500.641","4947267"
"14","Germany","41486","7.034","3477796274496.8","83830972"
"15","Canada","40470","7.025","1529760492201.35","37799407"
"16","United States","56209","6.977","18624475000000","331341050"
"17","United Kingdom","38969","6.943","2647898654635.24","67948282"
"19","Belgium","40346","6.805","467955709817.539","11598451"
"20","France","37756","6.687","2465453975282.24","65298930"
"21","Bahrain","18807","6.647","32179069148.9362","1711057"
"22","Slovenia","21505","6.63","44708598648.8562","2078989"
"23","Costa Rica","11257","6.582","57435507212.256","5102158"
"24","United Arab Emirates","35188","6.576","348743265704.561","9910892"
"25","Saudi Arabia","18519","6.523","646438380560","34905942"
"27","Singapore","50693","6.48","296975678610.206","5858322"
"28","Romania","9763","6.477","187592037839.968","19214608"
"29","Spain","26461","6.476","1237255019653.86","46757980"
"30","Uruguay","15081","6.474","52419720713.7316","3475842"
"31","Italy","30753","6.467","1858913163927.72","60446035"
"32","Kosovo","","6.455","6649888888.88889",""
"33","Malta","24899","6.447","10999047580.3881","441750"
"34","Lithuania","15740","6.446","42738875963.3703","2715340"
"36","Estonia","17591","6.341","23337907618.5174","1326693"
"37","Panama","12756","6.309","55187700000","4326296"
"38","Brazil","8440","6.293","1796186586414.45","212821986"
"39","Guatemala","3826","6.262","68763255963.8943","17971382"
"40","Kazakhstan","7296","6.234","137278320084.171","18815231"
"41","Cyprus","16583","6.221","20047013274.3363","1208886"
"42","Latvia","14648","6.18","27572698481.8766","1882408"
"43","Serbia","4387","6.178","38299854688.1277","8731081"
"44","Chile","12903","6.172","247027912574.35","19144605"
"45","Nicaragua","1993","6.165","13230844686.858","6638075"
"46","Mexico","8105","6.128","1046922702460.87","129166028"
"47","Croatia","12367","6.125","50714957390.5378","4100719"
"48","Poland","12457","6.123","471364408713.956","37839255"
"49","El Salvador","4128","6.12","26797470000","6491923"
"50","Kuwait","25898","6.106","110875579086.698","4281320"
"51","Hungary","13030","6.086","125816640420.569","9655983"
"52","Mauritius","9565","6.071","12168437744.2644","1272140"
"53","Uzbekistan","2003","6.063","67220335569.6147","33551824"
"54","Japan","39081","6.039","4940158776617.16","126407422"
"55","Honduras","2167","6.022","21516938909.5686","9931333"
"56","Portugal","20099","6.016","204836597909.466","10191409"
"57","Argentina","12050","5.967","545476103427.247","45267449"
"58","Greece","18503","5.948","192690813126.86","10413936"
"60","Philippines","2776","5.904","304905406845.291","109830324"
"61","Thailand","5829","5.891","407026127310.434","69830779"
"62","Moldova","1674","5.857","6749515654.64419","4032294"
"63","Jamaica","4743","5.85","14056908749.3505","2963429"
"65","Belarus","5017","5.821","47407217531.162","9448772"
"66","Colombia","5541","5.781","282462551366.878","50976248"
"67","Bosnia and Herzegovina","5160","5.768","16910277133.6463","3277152"
"68","Mongolia","3402","5.761","11183458130.8083","3287242"
"69","Dominican Republic","6587","5.737","71583553487.5646","10866667"
"70","Malaysia","9142","5.711","296535930381.12","32436963"
"71","Bolivia","2889","5.6","33806395513.7482","11700207"
"72","China","7776","5.585","11199145157649.2","1440297825"
"73","Paraguay","3837","5.578","27424071382.7244","7147553"
"74","Peru","5816","5.559","192207342004.681","33050211"
"75","Montenegro","6964","5.547","4374127212.38938","628080"
"76","Ecuador","5575","5.533","98613972000","17688599"
"77","Vietnam","2106","5.485","205276172134.901","97490013"
"78","Turkmenistan","5984","5.474","36179885714.2857","6046292"
"82","Armenia","3567","5.399","10572298341.5618","2964219"
"83","Tajikistan","726","5.377","6951657158.90093","9573310"
"84","Nepal","723","5.377","21131983246.1855","29225196"
"85","Bulgaria","7672","5.371","53237882472.7108","6939018"
"87","Indonesia","3402","5.24","932259177765.307","274021604"
"90","Albania","4123","5.199","11863865978.0942","2877239"
"91","South Africa","4971","5.194","295456189492.005","59436725"
"92","Azerbaijan","3727","5.173","37847715736.0406","10154978"
"94","Bangladesh","1342","5.155","221415162445.648","164972348"
"96","Algeria","3616","5.122","159049096745.249","43984569"
"97","Liberia","414","5.122","2101000000","5077411"
"98","Ukraine","2135","5.084","93270479388.5243","43686577"
"100","Morocco","2801","5.06","103606321692.582","36985624"
"101","Mozambique","351","5.048","11014858591.8422","31398811"
"102","Cameroon","1209","5.048","32217497470.489","26655083"
"103","Senegal","873","5.046","14683697630.9","16816539"
"104","Niger","309","5.003","7528387858.34739","24346468"
"105","Georgia","3605","4.973","14378016729.1587","3987805"
"106","Gabon","6361","4.958","14213558130.1817","2234448"
"107","Iraq","4248","4.941","171489001692.047","40372771"
"109","Guinea","622","4.891","8200248003.02206","13191279"
"111","Ghana","1369","4.872","42689783733.873","31181428"
"112","Turkey","10222","4.744","863711710426.514","84495243"
"113","Burkina Faso","557","4.67","11693235542.0671","20997293"
"114","Cambodia","1194","4.64","20016747754.0192","16758448"
"115","Benin","705","4.623","8583031398.21675","12175480"
"116","Comoros","707","4.609","616654490.413179","872695"
"117","Uganda","524","4.603","24078931933.4578","45974931"
"118","Nigeria","1955","4.552","404652720164.859","206984347"
"119","Kenya","1307","4.543","70529014778.3251","53968739"
"120","Tunisia","3553","4.516","42062549394.7859","11839918"
"121","Pakistan","1259","4.516","278913371202.065","221612785"
"123","Mali","690","4.479","14034980333.6615","20346106"
"124","Namibia","4296","4.459","10947880690.471","2548663"
"126","Myanmar","1161","4.394","63225097051.255","54473253"
"127","Sri Lanka","3795","4.362","81321876307.2556","21428970"
"128","Madagascar","360","4.339","10001193420.1518","27808395"
"130","Chad","582","4.251","9600761473.78738","16502877"
"131","Ethiopia","627","4.241","72374224249.3997","115434444"
"133","Mauritania","1015","4.153","4739298730.30837","4669775"
"134","Jordan","3782","4.152","38654727746.4789","10220604"
"135","Togo","529","4.112","4399995986.56477","8310934"
"136","India","1638","3.777","2263792499341.01","1382345085"
"137","Zambia","1141","3.76","21063989682.5243","18468257"
"138","Malawi","283","3.75","5433038646.51677","19211425"
"139","Tanzania","789","3.702","47340071107.343","60012400"
"140","Sierra Leone","467","3.574","3736588553.56394","8004158"
"141","Lesotho","1068","3.512","2291321667.48246","2145194"
"142","Botswana","6603","3.471","15581137273.7728","2359585"
"143","Rwanda","644","3.268","8376048904.58291","13005303"
"144","Zimbabwe","1115","2.995","16619960401.9038","14899771"
"145","Lebanon","7273","2.955","49598825982.1559","6819976"
"146","Afghanistan","498","2.404","19469022207.6852","39074280"
